TABLE_CATALOG	TABLE_SCHEMA	TABLE_NAME	NON_UNIQUE	INDEX_SCHEMA	INDEX_NAME	SEQ_IN_INDEX	COLUMN_NAME	COLLATION	CARDINALITY	SUB_PART	PACKED	NULLABLE	INDEX_TYPE	COMMENT	INDEX_COMMENT
def	wikidb	category	0	wikidb	PRIMARY	1	cat_id	A	1807526	NULL	NULL		BTREE		
def	wikidb	category	0	wikidb	cat_title	1	cat_title	A	1807526	NULL	NULL		BTREE		
def	wikidb	category	1	wikidb	cat_pages	1	cat_pages	A	6415	NULL	NULL		BTREE		
def	wikidb	categorylinks	0	wikidb	PRIMARY	1	cl_from	A	26332180	NULL	NULL		BTREE		
def	wikidb	categorylinks	0	wikidb	PRIMARY	2	cl_to	A	130744112	NULL	NULL		BTREE		
def	wikidb	categorylinks	1	wikidb	cl_timestamp	1	cl_to	A	2434120	NULL	NULL		BTREE		
def	wikidb	categorylinks	1	wikidb	cl_timestamp	2	cl_timestamp	A	108224648	NULL	NULL		BTREE		
def	wikidb	categorylinks	1	wikidb	cl_sortkey	1	cl_to	A	4301058	NULL	NULL		BTREE		
def	wikidb	categorylinks	1	wikidb	cl_sortkey	2	cl_type	A	5079990	NULL	NULL		BTREE		
def	wikidb	categorylinks	1	wikidb	cl_sortkey	3	cl_sortkey	A	121547224	NULL	NULL		BTREE		
def	wikidb	categorylinks	1	wikidb	cl_sortkey	4	cl_from	A	120869896	NULL	NULL		BTREE		
def	wikidb	categorylinks	1	wikidb	cl_collation_ext	1	cl_collation	A	1	NULL	NULL		BTREE		
def	wikidb	categorylinks	1	wikidb	cl_collation_ext	2	cl_to	A	1731771	NULL	NULL		BTREE		
def	wikidb	categorylinks	1	wikidb	cl_collation_ext	3	cl_type	A	2280583	NULL	NULL		BTREE		
def	wikidb	categorylinks	1	wikidb	cl_collation_ext	4	cl_from	A	130744112	NULL	NULL		BTREE		
def	wikidb	change_tag	0	wikidb	PRIMARY	1	ct_id	A	56803004	NULL	NULL		BTREE		
def	wikidb	change_tag	0	wikidb	change_tag_rc_tag_id	1	ct_rc_id	A	39076136	NULL	NULL	YES	BTREE		
def	wikidb	change_tag	0	wikidb	change_tag_rc_tag_id	2	ct_tag_id	A	56806612	NULL	NULL	YES	BTREE		
def	wikidb	change_tag	0	wikidb	change_tag_log_tag_id	1	ct_log_id	A	500535	NULL	NULL	YES	BTREE		
def	wikidb	change_tag	0	wikidb	change_tag_log_tag_id	2	ct_tag_id	A	19749	NULL	NULL	YES	BTREE		
def	wikidb	change_tag	0	wikidb	change_tag_rev_tag_id	1	ct_rev_id	A	34442120	NULL	NULL	YES	BTREE		
def	wikidb	change_tag	0	wikidb	change_tag_rev_tag_id	2	ct_tag_id	A	56806612	NULL	NULL	YES	BTREE		
def	wikidb	change_tag	1	wikidb	change_tag_tag_id	1	ct_tag	A	22907	NULL	NULL		BTREE		
def	wikidb	change_tag	1	wikidb	change_tag_tag_id	2	ct_rc_id	A	53671048	NULL	NULL	YES	BTREE		
def	wikidb	change_tag	1	wikidb	change_tag_tag_id	3	ct_rev_id	A	52309312	NULL	NULL	YES	BTREE		
def	wikidb	change_tag	1	wikidb	change_tag_tag_id	4	ct_log_id	A	56806612	NULL	NULL	YES	BTREE		
def	wikidb	change_tag	1	wikidb	change_tag_tag_id_id	1	ct_tag_id	A	18819	NULL	NULL	YES	BTREE		
def	wikidb	change_tag	1	wikidb	change_tag_tag_id_id	2	ct_rc_id	A	54781728	NULL	NULL	YES	BTREE		
def	wikidb	change_tag	1	wikidb	change_tag_tag_id_id	3	ct_rev_id	A	56806612	NULL	NULL	YES	BTREE		
def	wikidb	change_tag	1	wikidb	change_tag_tag_id_id	4	ct_log_id	A	51949572	NULL	NULL	YES	BTREE		
def	wikidb	change_tag	1	wikidb	change_tag_rc_tag_nonuniq	1	ct_rc_id	A	39833304	NULL	NULL	YES	BTREE		
def	wikidb	change_tag	1	wikidb	change_tag_rc_tag_nonuniq	2	ct_tag	A	56806612	NULL	NULL		BTREE		
def	wikidb	change_tag	1	wikidb	change_tag_log_tag_nonuniq	1	ct_log_id	A	587241	NULL	NULL	YES	BTREE		
def	wikidb	change_tag	1	wikidb	change_tag_log_tag_nonuniq	2	ct_tag	A	1013243	NULL	NULL		BTREE		
def	wikidb	change_tag	1	wikidb	change_tag_rev_tag_nonuniq	1	ct_rev_id	A	35305452	NULL	NULL	YES	BTREE		
def	wikidb	change_tag	1	wikidb	change_tag_rev_tag_nonuniq	2	ct_tag	A	53302120	NULL	NULL		BTREE		
def	wikidb	externallinks	0	wikidb	PRIMARY	1	el_id	A	119092112	NULL	NULL		BTREE		
def	wikidb	externallinks	1	wikidb	el_from	1	el_from	A	12287307	NULL	NULL		BTREE		
def	wikidb	externallinks	1	wikidb	el_from	2	el_to	A	75771736	40	NULL		BTREE		
def	wikidb	externallinks	1	wikidb	el_to	1	el_to	A	56588716	60	NULL		BTREE		
def	wikidb	externallinks	1	wikidb	el_to	2	el_from	A	89674392	NULL	NULL		BTREE		
def	wikidb	externallinks	1	wikidb	el_index	1	el_index	A	75707088	60	NULL		BTREE		
def	wikidb	externallinks	1	wikidb	el_index_60	1	el_index_60	A	71877616	NULL	NULL		BTREE		
